,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,engine_capacity(cc),Power_bhp,Seats,Price,Brand_name,Model_name
0,Mumbai,2010,72000,CNG,Manual,First,35.910000000000004,998,58.16,5.0,1.75,Maruti,Wagon
1,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,Hyundai,Creta
2,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,Honda,Jazz
3,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,Maruti,Ertiga
4,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,Audi,A4
5,Hyderabad,2012,75000,LPG,Manual,First,28.485000000000003,814,55.2,5.0,2.35,Hyundai,EON
6,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,Nissan,Micra
7,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,Toyota,Innova
8,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,Volkswagen,Vento
9,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,1.95,Tata,Indica
10,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,Maruti,Ciaz
11,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,Honda,City
12,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,5.6,Maruti,Swift
13,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,Land,Rover
14,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,Mitsubishi,Pajero
15,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda,Amaze
16,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.99,Maruti,Swift
